"area","subarea","name","condition","cylinders","drive","fuel","odometer","paintcolor","size","transmission","type","dealer","price","lnprice","year","age","lnodometer","LE","XLE","SE","cond_excellent","cond_good","cond_likenew","cylind6","agesq","agecu","odometersq"
"chicago","chicago city","2015 Toyota_ Camry_","excellent","other","Missing","gas",3.5721,NA,NA,"automatic","sedan",1,14850,9.6057549,2015,3,1.2731537,0,0,0,1,0,0,0,9,27,12.75989841
"chicago","chicago city","2016 TOYOTA CAMRY","Missing","Missing","fwd","gas",1.3152,NA,NA,"automatic","sedan",1,15630,9.6569471,2016,2,0.27398875,0,0,0,0,0,0,0,4,8,1.72975104
"chicago","chicago city","1993 toyota camry","good","6 cylinders","fwd","gas",18.7,"red","full-size","automatic","sedan",0,850,6.7452364,1993,25,2.9285235,0,0,0,0,1,0,1,625,15625,349.69
"chicago","chicago city","1998 toyota camry le","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1600,7.377759,1998,20,2.8228219,1,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago city","1998 Toyota Camry","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1500,7.3132205,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago city","1999 toyota camry","good","4 cylinders","fwd","gas",20.2,NA,NA,"automatic","sedan",0,1650,7.4085307,1999,19,3.0056827,0,0,0,0,1,0,0,361,6859,408.04
"chicago","chicago city","2000 toyota camry le","excellent","4 cylinders","fwd","gas",10.7,"white","mid-size","automatic","sedan",0,2295,7.7384882,2000,18,2.3702438,1,0,0,1,0,0,0,324,5832,114.49
"chicago","chicago city","2002 toyota camry solara","Missing","6 cylinders","fwd","gas",16,"black",NA,"automatic","Missing",0,1650,7.4085307,2002,16,2.7725887,0,0,0,0,0,0,1,256,4096,256
"chicago","chicago city","2002 toyota camry","Missing","Missing","Missing","gas",14.3267211914062,NA,NA,"automatic","Missing",0,3500,8.1605186,2002,16,2.6621263,0,0,0,0,0,0,0,256,4096,205.254940096289
"chicago","chicago city","2003 Toyota CAMRY XLE","Missing","Missing","Missing","gas",14.0816717147827,"white",NA,"automatic","Missing",0,1100,7.0030656,2003,15,2.6448741,0,1,0,0,0,0,0,225,3375,198.293478282911
"chicago","chicago city","2003 toyota camry","Missing","4 cylinders","Missing","gas",11.9,NA,NA,"automatic","Missing",0,3800,8.2427559,2003,15,2.4765384,0,0,0,0,0,0,0,225,3375,141.61
"chicago","chicago city","2004 Toyota Camry XLE","excellent","4 cylinders","fwd","gas",16.7,NA,NA,"automatic","Missing",0,2950,7.9895606,2004,14,2.8154087,0,1,0,1,0,0,0,196,2744,278.89
"chicago","chicago city","2005 toyota camry LE","excellent","6 cylinders","4wd","gas",12.0451,"grey","full-size","automatic","sedan",0,4200,8.3428402,2005,13,2.488658,1,0,0,1,0,0,1,169,2197,145.08443401
"chicago","chicago city","2007 toyota camry","good","4 cylinders","fwd","gas",11.6269302368164,"silver","full-size","automatic","sedan",0,4500,8.4118328,2007,11,2.4533241,0,0,0,0,1,0,0,121,1331,135.185506731796
"chicago","chicago city","2007 Toyota camry","Missing","Missing","Missing","gas",11.6269302368164,NA,NA,"automatic","Missing",0,4000,8.2940493,2007,11,2.4533241,0,0,0,0,0,0,0,121,1331,135.185506731796
"chicago","chicago city","2007 Toyota Camry SE","excellent","4 cylinders","fwd","gas",10.2,"grey","mid-size","automatic","Missing",0,6000,8.6995144,2007,11,2.3223877,0,0,1,1,0,0,0,121,1331,104.04
"chicago","chicago city","2007 toyota camry xle","Missing","Missing","Missing","gas",11.6269302368164,NA,NA,"automatic","Missing",0,5999,8.6993484,2007,11,2.4533241,0,1,0,0,0,0,0,121,1331,135.185506731796
"chicago","chicago city","2008 toyota camry","Missing","4 cylinders","fwd","gas",6.58,NA,NA,"automatic","Missing",0,7700,8.9489756,2008,10,1.8840348,0,0,0,0,0,0,0,100,1000,43.2964
"chicago","chicago city","2009 toyota camry se 4dr sedan","excellent","4 cylinders","fwd","gas",11.33,"grey","mid-size","automatic","sedan",0,7200,8.8818359,2009,9,2.427454,0,0,1,1,0,0,0,81,729,128.3689
"chicago","chicago city","2009 toyota camry xle","excellent","Missing","Missing","gas",16.4503631591797,NA,NA,"automatic","Missing",0,6400,8.7640533,2009,9,2.8003476,0,1,0,1,0,0,0,81,729,270.614448068896
